timestamp,ticker,action,quantity,exchange,price,commission
2012-04-03 00:00:00,TLT,BOT,2466,ARCA,110.58,12.33
2012-04-04 00:00:00,IEI,BOT,2000,ARCA,120.96,10.0
2012-04-04 00:00:00,TLT,SLD,2466,ARCA,112.1,12.33
2012-04-09 00:00:00,IEI,BOT,2000,ARCA,121.8,10.0
2012-04-09 00:00:00,TLT,SLD,2382,ARCA,115.55,11.91
2012-04-11 00:00:00,IEI,SLD,2000,ARCA,121.91,10.0
2012-04-11 00:00:00,TLT,BOT,2382,ARCA,115.46,11.91
2012-04-13 00:00:00,IEI,BOT,2000,ARCA,122.04,10.0
2012-04-13 00:00:00,TLT,SLD,2361,ARCA,116.84,11.805
2012-04-16 00:00:00,IEI,SLD,2000,ARCA,122.12,10.0
2012-04-16 00:00:00,TLT,BOT,2361,ARCA,116.67,11.805
2012-05-14 00:00:00,IEI,BOT,2000,ARCA,122.87,10.0
2012-05-14 00:00:00,TLT,SLD,2288,ARCA,121.17,11.44
2012-05-15 00:00:00,IEI,SLD,2000,ARCA,122.79,10.0
2012-05-15 00:00:00,TLT,BOT,2288,ARCA,121.66,11.44
2012-05-17 00:00:00,IEI,BOT,2000,ARCA,122.83,10.0
2012-05-17 00:00:00,TLT,SLD,2232,ARCA,124.17,11.16
2012-05-18 00:00:00,IEI,SLD,2000,ARCA,122.81,10.0
2012-05-18 00:00:00,TLT,BOT,2232,ARCA,124.2,11.16
2012-05-22 00:00:00,IEI,SLD,2000,ARCA,122.69,10.0
2012-05-22 00:00:00,TLT,BOT,2259,ARCA,122.56,11.295
2012-05-23 00:00:00,IEI,BOT,2000,ARCA,122.8,10.0
2012-05-23 00:00:00,TLT,SLD,2259,ARCA,123.41,11.295
2012-05-30 00:00:00,IEI,BOT,2000,ARCA,123.16,10.0
2012-05-30 00:00:00,TLT,SLD,2203,ARCA,126.14,11.015
2012-06-04 00:00:00,IEI,SLD,2000,ARCA,123.11,10.0
2012-06-04 00:00:00,TLT,BOT,2203,ARCA,129.33,11.015
2012-06-05 00:00:00,IEI,SLD,2000,ARCA,123.08,10.0
2012-06-05 00:00:00,TLT,BOT,2174,ARCA,127.6,10.87
2012-06-07 00:00:00,IEI,BOT,2000,ARCA,122.88,10.0
2012-06-07 00:00:00,TLT,SLD,2174,ARCA,125.24,10.87
2012-06-19 00:00:00,IEI,SLD,2000,ARCA,122.96,10.0
2012-06-19 00:00:00,TLT,BOT,2209,ARCA,125.42,11.045
2012-06-20 00:00:00,IEI,BOT,2000,ARCA,122.75,10.0
2012-06-20 00:00:00,TLT,SLD,2209,ARCA,126.04,11.045
2012-06-22 00:00:00,IEI,SLD,2000,ARCA,122.7,10.0
2012-06-22 00:00:00,TLT,BOT,2211,ARCA,125.02,11.055
2012-06-25 00:00:00,IEI,BOT,2000,ARCA,122.93,10.0
2012-06-25 00:00:00,TLT,SLD,2211,ARCA,126.84,11.055
2012-06-29 00:00:00,IEI,SLD,2000,ARCA,123.0,10.0
2012-06-29 00:00:00,TLT,BOT,2214,ARCA,125.2,11.07
2012-07-02 00:00:00,IEI,BOT,2000,ARCA,123.11,10.0
2012-07-02 00:00:00,TLT,SLD,2214,ARCA,126.22,11.07
2012-07-20 00:00:00,IEI,BOT,2000,ARCA,123.74,10.0
2012-07-20 00:00:00,TLT,SLD,2141,ARCA,130.06,10.705
2012-07-23 00:00:00,IEI,SLD,2000,ARCA,123.82,10.0
2012-07-23 00:00:00,TLT,BOT,2141,ARCA,130.79,10.705
2012-07-27 00:00:00,IEI,SLD,2000,ARCA,123.42,10.0
2012-07-27 00:00:00,TLT,BOT,2161,ARCA,128.48,10.805
2012-07-30 00:00:00,IEI,BOT,2000,ARCA,123.62,10.0
2012-07-30 00:00:00,TLT,SLD,2161,ARCA,129.44,10.805
2012-08-03 00:00:00,IEI,SLD,2000,ARCA,123.3,10.0
2012-08-03 00:00:00,TLT,BOT,2174,ARCA,127.42,10.87
2012-08-06 00:00:00,IEI,BOT,2000,ARCA,123.38,10.0
2012-08-06 00:00:00,TLT,SLD,2174,ARCA,127.47,10.87
2012-08-07 00:00:00,IEI,SLD,2000,ARCA,123.09,10.0
2012-08-07 00:00:00,TLT,BOT,2198,ARCA,125.83,10.99
2012-08-08 00:00:00,IEI,BOT,2000,ARCA,122.95,10.0
2012-08-08 00:00:00,TLT,SLD,2198,ARCA,125.16,10.99
2012-08-14 00:00:00,IEI,SLD,2000,ARCA,122.88,10.0
2012-08-14 00:00:00,TLT,BOT,2230,ARCA,123.79,11.15
2012-08-16 00:00:00,IEI,BOT,2000,ARCA,122.47,10.0
2012-08-16 00:00:00,TLT,SLD,2230,ARCA,121.01,11.15
2012-08-22 00:00:00,IEI,BOT,2000,ARCA,123.11,10.0
2012-08-22 00:00:00,TLT,SLD,2223,ARCA,124.41,11.115
2012-08-23 00:00:00,IEI,SLD,2000,ARCA,123.21,10.0
2012-08-23 00:00:00,TLT,BOT,2223,ARCA,124.93,11.115
2012-08-31 00:00:00,IEI,BOT,2000,ARCA,123.82,10.0
2012-08-31 00:00:00,TLT,SLD,2178,ARCA,127.72,10.89
2012-09-04 00:00:00,IEI,SLD,2000,ARCA,123.57,10.0
2012-09-04 00:00:00,TLT,BOT,2178,ARCA,127.32,10.89
2012-09-06 00:00:00,IEI,SLD,2000,ARCA,123.26,10.0
2012-09-06 00:00:00,TLT,BOT,2219,ARCA,124.61,11.095
2012-09-07 00:00:00,IEI,BOT,2000,ARCA,123.4,10.0
2012-09-07 00:00:00,TLT,SLD,2219,ARCA,124.03,11.095
2012-09-12 00:00:00,IEI,SLD,2000,ARCA,123.17,10.0
2012-09-12 00:00:00,TLT,BOT,2264,ARCA,122.01,11.32
2012-09-13 00:00:00,IEI,BOT,2000,ARCA,123.41,10.0
2012-09-13 00:00:00,TLT,SLD,2264,ARCA,121.53,11.32
2012-09-14 00:00:00,IEI,SLD,2000,ARCA,122.98,10.0
2012-09-14 00:00:00,TLT,BOT,2331,ARCA,118.3,11.655
